"0","0  4  7"
"1","1  5  8"
"2","2  6  9"
"3","3   7  10"
"4","4   8  11"
"5","5  9  0"
"6","6  10   1"
"7","7  11   2"
"8","8  0  3"
"9","9  1  4"
"10","10   2   5"
"11","11   3   6"
"12","0  3  7"
"13","1  4  8"
"14","2  5  9"
"15","3   6  10"
"16","4   7  11"
"17","5  8  0"
"18","6  9  1"
"19","7  10   2"
"20","8  11   3"
"21","9  0  4"
"22","10   1   5"
"23","11   2   6"
"24","24"
