"N","24"
"Db:(1,b3,4)/6","10   1"
"D#:(1,b3,4)/6","0  3"
"E:(1,b3,4)/6","1  4"
"Eb:(1,b3,4)/6","0  3"
"E#:(1,b3,4)/6","2  5"
"F:(1,b3,4)/6","2  5"
"Fb:(1,b3,4)/6","1  4"
"F#:(1,b3,4)/6","3  6"
"G:(1,b3,4)/6","4  7"
"Gb:(1,b3,4)/6","3  6"
"G#:(1,b3,4)/6","5  8"
"A:(1,b3,4)/6","6  9"
"Ab:(1,b3,4)/6","5  8"
"A#:(1,b3,4)/6","7  10"
"B:(1,b3,4)/6","8  11"
"Bb:(1,b3,4)/6","7  10"
"B#:(1,b3,4)/6","9  0"
"C:(1,b3,4)/7","11   0"
"Cb:(1,b3,4)/7","10  11"
"C#:(1,b3,4)/7","0  1"
"D:(1,b3,4)/7","1  2"
"Db:(1,b3,4)/7","0  1"
"D#:(1,b3,4)/7","2  3"
"E:(1,b3,4)/7","3  4"
"Eb:(1,b3,4)/7","2  3"
"E#:(1,b3,4)/7","4  5"
"F:(1,b3,4)/7","4  5"
"Fb:(1,b3,4)/7","3  4"
"F#:(1,b3,4)/7","5  6"
"G:(1,b3,4)/7","6  7"
"Gb:(1,b3,4)/7","5  6"
"G#:(1,b3,4)/7","7  8"
"A:(1,b3,4)/7","8  9"
"Ab:(1,b3,4)/7","7  8"
"A#:(1,b3,4)/7","9  10"
"B:(1,b3,4)/7","10  11"
"Bb:(1,b3,4)/7","9  10"
"B#:(1,b3,4)/7","11   0"
"C:(1,b3,4)/9","2  0"
"Cb:(1,b3,4)/9","1  11"
"C#:(1,b3,4)/9","3  1"
"D:(1,b3,4)/9","4  2"
"Db:(1,b3,4)/9","3  1"
"D#:(1,b3,4)/9","5  3"
"E:(1,b3,4)/9","6  4"
"Eb:(1,b3,4)/9","5  3"
"E#:(1,b3,4)/9","7  5"
"F:(1,b3,4)/9","7  5"
"Fb:(1,b3,4)/9","6  4"
"F#:(1,b3,4)/9","8  6"
"G:(1,b3,4)/9","9  7"
"Gb:(1,b3,4)/9","8  6"
"G#:(1,b3,4)/9","10   8"
"A:(1,b3,4)/9","11   9"
"Ab:(1,b3,4)/9","10   8"
"A#:(1,b3,4)/9","0  10"
"B:(1,b3,4)/9","1  11"
"Bb:(1,b3,4)/9","0  10"
"B#:(1,b3,4)/9","2  0"
"C:(1,b3,4)/b1","11   0"
"Cb:(1,b3,4)/b1","10  11"
"C#:(1,b3,4)/b1","0  1"
"D:(1,b3,4)/b1","1  2"
"Db:(1,b3,4)/b1","0  1"
"D#:(1,b3,4)/b1","2  3"
"E:(1,b3,4)/b1","3  4"
"Eb:(1,b3,4)/b1","2  3"
"E#:(1,b3,4)/b1","4  5"
"F:(1,b3,4)/b1","4  5"
"Fb:(1,b3,4)/b1","3  4"
"F#:(1,b3,4)/b1","5  6"
"G:(1,b3,4)/b1","6  7"
"Gb:(1,b3,4)/b1","5  6"
"G#:(1,b3,4)/b1","7  8"
"A:(1,b3,4)/b1","8  9"
"Ab:(1,b3,4)/b1","7  8"
"A#:(1,b3,4)/b1","9  10"
"B:(1,b3,4)/b1","10  11"
"Bb:(1,b3,4)/b1","9  10"
"B#:(1,b3,4)/b1","11   0"
"C:(1,b3,4)/b2","1  0"
"Cb:(1,b3,4)/b2","0  11"
"C#:(1,b3,4)/b2","2  1"
"D:(1,b3,4)/b2","3  2"
"Db:(1,b3,4)/b2","2  1"
"D#:(1,b3,4)/b2","4  3"
"E:(1,b3,4)/b2","5  4"
"Eb:(1,b3,4)/b2","4  3"
"E#:(1,b3,4)/b2","6  5"
"F:(1,b3,4)/b2","6  5"
"Fb:(1,b3,4)/b2","5  4"
"F#:(1,b3,4)/b2","7  6"
"G:(1,b3,4)/b2","8  7"
"Gb:(1,b3,4)/b2","7  6"
"G#:(1,b3,4)/b2","9  8"
"A:(1,b3,4)/b2","10   9"
"Ab:(1,b3,4)/b2","9  8"
"A#:(1,b3,4)/b2","11  10"
"B:(1,b3,4)/b2","0  11"
"Bb:(1,b3,4)/b2","11  10"
"B#:(1,b3,4)/b2","1  0"
"C:(1,b3,4)/b3","3  0"
"Cb:(1,b3,4)/b3","2  11"
"C#:(1,b3,4)/b3","4  1"
"D:(1,b3,4)/b3","5  2"
"Db:(1,b3,4)/b3","4  1"
"D#:(1,b3,4)/b3","6  3"
"E:(1,b3,4)/b3","7  4"
"Eb:(1,b3,4)/b3","6  3"
"E#:(1,b3,4)/b3","8  5"
"F:(1,b3,4)/b3","8  5"
"Fb:(1,b3,4)/b3","7  4"
"F#:(1,b3,4)/b3","9  6"
"G:(1,b3,4)/b3","10   7"
"Gb:(1,b3,4)/b3","9  6"
"G#:(1,b3,4)/b3","11   8"
"A:(1,b3,4)/b3","0  9"
"Ab:(1,b3,4)/b3","11   8"
"A#:(1,b3,4)/b3","1  10"
"B:(1,b3,4)/b3","2  11"
"Bb:(1,b3,4)/b3","1  10"
"B#:(1,b3,4)/b3","3  0"
"C:(1,b3,4)/b4","4  0"
"Cb:(1,b3,4)/b4","3  11"
"C#:(1,b3,4)/b4","5  1"
"D:(1,b3,4)/b4","6  2"
"Db:(1,b3,4)/b4","5  1"
"D#:(1,b3,4)/b4","7  3"
"E:(1,b3,4)/b4","8  4"
"Eb:(1,b3,4)/b4","7  3"
"E#:(1,b3,4)/b4","9  5"
"F:(1,b3,4)/b4","9  5"
"Fb:(1,b3,4)/b4","8  4"
"F#:(1,b3,4)/b4","10   6"
"G:(1,b3,4)/b4","11   7"
"Gb:(1,b3,4)/b4","10   6"
"G#:(1,b3,4)/b4","0  8"
"A:(1,b3,4)/b4","1  9"
"Ab:(1,b3,4)/b4","0  8"
"A#:(1,b3,4)/b4","2  10"
"B:(1,b3,4)/b4","3  11"
"Bb:(1,b3,4)/b4","2  10"
"B#:(1,b3,4)/b4","4  0"
"C:(1,b3,4)/b5","6  0"
"Cb:(1,b3,4)/b5","5  11"
"C#:(1,b3,4)/b5","7  1"
"D:(1,b3,4)/b5","8  2"
"Db:(1,b3,4)/b5","7  1"
"D#:(1,b3,4)/b5","9  3"
"E:(1,b3,4)/b5","10   4"
"Eb:(1,b3,4)/b5","9  3"
"E#:(1,b3,4)/b5","11   5"
"F:(1,b3,4)/b5","11   5"
"Fb:(1,b3,4)/b5","10   4"
"F#:(1,b3,4)/b5","0  6"
"G:(1,b3,4)/b5","1  7"
"Gb:(1,b3,4)/b5","0  6"
"G#:(1,b3,4)/b5","2  8"
"A:(1,b3,4)/b5","3  9"
"Ab:(1,b3,4)/b5","2  8"
"A#:(1,b3,4)/b5","4  10"
"B:(1,b3,4)/b5","5  11"
"Bb:(1,b3,4)/b5","4  10"
"B#:(1,b3,4)/b5","6  0"
"C:(1,b3,4)/b6","8  0"
"Cb:(1,b3,4)/b6","7  11"
"C#:(1,b3,4)/b6","9  1"
"D:(1,b3,4)/b6","10   2"
"Db:(1,b3,4)/b6","9  1"
"D#:(1,b3,4)/b6","11   3"
"E:(1,b3,4)/b6","0  4"
"Eb:(1,b3,4)/b6","11   3"
"E#:(1,b3,4)/b6","1  5"
"F:(1,b3,4)/b6","1  5"
"Fb:(1,b3,4)/b6","0  4"
"F#:(1,b3,4)/b6","2  6"
"G:(1,b3,4)/b6","3  7"
"Gb:(1,b3,4)/b6","2  6"
"G#:(1,b3,4)/b6","4  8"
"A:(1,b3,4)/b6","5  9"
"Ab:(1,b3,4)/b6","4  8"
"A#:(1,b3,4)/b6","6  10"
"B:(1,b3,4)/b6","7  11"
"Bb:(1,b3,4)/b6","6  10"
"B#:(1,b3,4)/b6","8  0"
"C:(1,b3,4)/b7","10   0"
"Cb:(1,b3,4)/b7","9  11"
"C#:(1,b3,4)/b7","11   1"
"D:(1,b3,4)/b7","0  2"
"Db:(1,b3,4)/b7","11   1"
"D#:(1,b3,4)/b7","1  3"
"E:(1,b3,4)/b7","2  4"
"Eb:(1,b3,4)/b7","1  3"
"E#:(1,b3,4)/b7","3  5"
"F:(1,b3,4)/b7","3  5"
"Fb:(1,b3,4)/b7","2  4"
"F#:(1,b3,4)/b7","4  6"
"G:(1,b3,4)/b7","5  7"
"Gb:(1,b3,4)/b7","4  6"
"G#:(1,b3,4)/b7","6  8"
"A:(1,b3,4)/b7","7  9"
"Ab:(1,b3,4)/b7","6  8"
"A#:(1,b3,4)/b7","8  10"
"B:(1,b3,4)/b7","9  11"
"Bb:(1,b3,4)/b7","8  10"
"B#:(1,b3,4)/b7","10   0"
"C:(1,b3,4)/b9","1  0"
"Cb:(1,b3,4)/b9","0  11"
"C#:(1,b3,4)/b9","2  1"
"D:(1,b3,4)/b9","3  2"
"Db:(1,b3,4)/b9","2  1"
"D#:(1,b3,4)/b9","4  3"
"E:(1,b3,4)/b9","5  4"
"Eb:(1,b3,4)/b9","4  3"
"E#:(1,b3,4)/b9","6  5"
"F:(1,b3,4)/b9","6  5"
"Fb:(1,b3,4)/b9","5  4"
"F#:(1,b3,4)/b9","7  6"
"G:(1,b3,4)/b9","8  7"
"Gb:(1,b3,4)/b9","7  6"
"G#:(1,b3,4)/b9","9  8"
"A:(1,b3,4)/b9","10   9"
"Ab:(1,b3,4)/b9","9  8"
"A#:(1,b3,4)/b9","11  10"
"B:(1,b3,4)/b9","0  11"
"Bb:(1,b3,4)/b9","11  10"
"B#:(1,b3,4)/b9","1  0"
"C:(1,b3,4)/#1","1  0"
"Cb:(1,b3,4)/#1","0  11"
"C#:(1,b3,4)/#1","2  1"
"D:(1,b3,4)/#1","3  2"
"Db:(1,b3,4)/#1","2  1"
"D#:(1,b3,4)/#1","4  3"
"E:(1,b3,4)/#1","5  4"
"Eb:(1,b3,4)/#1","4  3"
"E#:(1,b3,4)/#1","6  5"
"F:(1,b3,4)/#1","6  5"
"Fb:(1,b3,4)/#1","5  4"
"F#:(1,b3,4)/#1","7  6"
"G:(1,b3,4)/#1","8  7"
"Gb:(1,b3,4)/#1","7  6"
"G#:(1,b3,4)/#1","9  8"
"A:(1,b3,4)/#1","10   9"
"Ab:(1,b3,4)/#1","9  8"
"A#:(1,b3,4)/#1","11  10"
"B:(1,b3,4)/#1","0  11"
"Bb:(1,b3,4)/#1","11  10"
"B#:(1,b3,4)/#1","1  0"
"C:(1,b3,4)/#2","3  0"
"Cb:(1,b3,4)/#2","2  11"
"C#:(1,b3,4)/#2","4  1"
"D:(1,b3,4)/#2","5  2"
"Db:(1,b3,4)/#2","4  1"
"D#:(1,b3,4)/#2","6  3"
"E:(1,b3,4)/#2","7  4"
"Eb:(1,b3,4)/#2","6  3"
"E#:(1,b3,4)/#2","8  5"
"F:(1,b3,4)/#2","8  5"
"Fb:(1,b3,4)/#2","7  4"
"F#:(1,b3,4)/#2","9  6"
"G:(1,b3,4)/#2","10   7"
"Gb:(1,b3,4)/#2","9  6"
"G#:(1,b3,4)/#2","11   8"
"A:(1,b3,4)/#2","0  9"
"Ab:(1,b3,4)/#2","11   8"
"A#:(1,b3,4)/#2","1  10"
"B:(1,b3,4)/#2","2  11"
"Bb:(1,b3,4)/#2","1  10"
"B#:(1,b3,4)/#2","3  0"
"C:(1,b3,4)/#3","5  0"
"Cb:(1,b3,4)/#3","4  11"
"C#:(1,b3,4)/#3","6  1"
"D:(1,b3,4)/#3","7  2"
"Db:(1,b3,4)/#3","6  1"
"D#:(1,b3,4)/#3","8  3"
"E:(1,b3,4)/#3","9  4"
"Eb:(1,b3,4)/#3","8  3"
"E#:(1,b3,4)/#3","10   5"
"F:(1,b3,4)/#3","10   5"
"Fb:(1,b3,4)/#3","9  4"
"F#:(1,b3,4)/#3","11   6"
"G:(1,b3,4)/#3","0  7"
"Gb:(1,b3,4)/#3","11   6"
"G#:(1,b3,4)/#3","1  8"
"A:(1,b3,4)/#3","2  9"
"Ab:(1,b3,4)/#3","1  8"
"A#:(1,b3,4)/#3","3  10"
"B:(1,b3,4)/#3","4  11"
"Bb:(1,b3,4)/#3","3  10"
"B#:(1,b3,4)/#3","5  0"
"C:(1,b3,4)/#4","6  0"
"Cb:(1,b3,4)/#4","5  11"
"C#:(1,b3,4)/#4","7  1"
"D:(1,b3,4)/#4","8  2"
"Db:(1,b3,4)/#4","7  1"
"D#:(1,b3,4)/#4","9  3"
"E:(1,b3,4)/#4","10   4"
"Eb:(1,b3,4)/#4","9  3"
"E#:(1,b3,4)/#4","11   5"
"F:(1,b3,4)/#4","11   5"
"Fb:(1,b3,4)/#4","10   4"
"F#:(1,b3,4)/#4","0  6"
"G:(1,b3,4)/#4","1  7"
"Gb:(1,b3,4)/#4","0  6"
"G#:(1,b3,4)/#4","2  8"
"A:(1,b3,4)/#4","3  9"
"Ab:(1,b3,4)/#4","2  8"
"A#:(1,b3,4)/#4","4  10"
"B:(1,b3,4)/#4","5  11"
"Bb:(1,b3,4)/#4","4  10"
"B#:(1,b3,4)/#4","6  0"
"C:(1,b3,4)/#5","8  0"
"Cb:(1,b3,4)/#5","7  11"
"C#:(1,b3,4)/#5","9  1"
"D:(1,b3,4)/#5","10   2"
"Db:(1,b3,4)/#5","9  1"
"D#:(1,b3,4)/#5","11   3"
"E:(1,b3,4)/#5","0  4"
"Eb:(1,b3,4)/#5","11   3"
"E#:(1,b3,4)/#5","1  5"
"F:(1,b3,4)/#5","1  5"
"Fb:(1,b3,4)/#5","0  4"
"F#:(1,b3,4)/#5","2  6"
"G:(1,b3,4)/#5","3  7"
"Gb:(1,b3,4)/#5","2  6"
"G#:(1,b3,4)/#5","4  8"
"A:(1,b3,4)/#5","5  9"
"Ab:(1,b3,4)/#5","4  8"
"A#:(1,b3,4)/#5","6  10"
"B:(1,b3,4)/#5","7  11"
"Bb:(1,b3,4)/#5","6  10"
"B#:(1,b3,4)/#5","8  0"
"C:(1,b3,4)/#6","10   0"
"Cb:(1,b3,4)/#6","9  11"
"C#:(1,b3,4)/#6","11   1"
"D:(1,b3,4)/#6","0  2"
"Db:(1,b3,4)/#6","11   1"
"D#:(1,b3,4)/#6","1  3"
"E:(1,b3,4)/#6","2  4"
"Eb:(1,b3,4)/#6","1  3"
"E#:(1,b3,4)/#6","3  5"
"F:(1,b3,4)/#6","3  5"
"Fb:(1,b3,4)/#6","2  4"
"F#:(1,b3,4)/#6","4  6"
"G:(1,b3,4)/#6","5  7"
"Gb:(1,b3,4)/#6","4  6"
"G#:(1,b3,4)/#6","6  8"
"A:(1,b3,4)/#6","7  9"
"Ab:(1,b3,4)/#6","6  8"
"A#:(1,b3,4)/#6","8  10"
"B:(1,b3,4)/#6","9  11"
"Bb:(1,b3,4)/#6","8  10"
"B#:(1,b3,4)/#6","10   0"
"C:(1,b3,4)/#7","0  0"
"Cb:(1,b3,4)/#7","11  11"
"C#:(1,b3,4)/#7","1  1"
"D:(1,b3,4)/#7","2  2"
"Db:(1,b3,4)/#7","1  1"
"D#:(1,b3,4)/#7","3  3"
"E:(1,b3,4)/#7","4  4"
"Eb:(1,b3,4)/#7","3  3"
"E#:(1,b3,4)/#7","5  5"
"F:(1,b3,4)/#7","5  5"
"Fb:(1,b3,4)/#7","4  4"
"F#:(1,b3,4)/#7","6  6"
"G:(1,b3,4)/#7","7  7"
"Gb:(1,b3,4)/#7","6  6"
"G#:(1,b3,4)/#7","8  8"
"A:(1,b3,4)/#7","9  9"
"Ab:(1,b3,4)/#7","8  8"
"A#:(1,b3,4)/#7","10  10"
"B:(1,b3,4)/#7","11  11"
"Bb:(1,b3,4)/#7","10  10"
"B#:(1,b3,4)/#7","0  0"
"C:(1,b3,4)/#9","3  0"
"Cb:(1,b3,4)/#9","2  11"
"C#:(1,b3,4)/#9","4  1"
"D:(1,b3,4)/#9","5  2"
"Db:(1,b3,4)/#9","4  1"
"D#:(1,b3,4)/#9","6  3"
"E:(1,b3,4)/#9","7  4"
"Eb:(1,b3,4)/#9","6  3"
"E#:(1,b3,4)/#9","8  5"
"F:(1,b3,4)/#9","8  5"
"Fb:(1,b3,4)/#9","7  4"
"F#:(1,b3,4)/#9","9  6"
"G:(1,b3,4)/#9","10   7"
"Gb:(1,b3,4)/#9","9  6"
"G#:(1,b3,4)/#9","11   8"
"A:(1,b3,4)/#9","0  9"
"Ab:(1,b3,4)/#9","11   8"
"A#:(1,b3,4)/#9","1  10"
"B:(1,b3,4)/#9","2  11"
"Bb:(1,b3,4)/#9","1  10"
"B#:(1,b3,4)/#9","3  0"
"C:(1,b7)","0"
"Cb:(1,b7)","11"
"C#:(1,b7)","1"
"D:(1,b7)","2"
"Db:(1,b7)","1"
"D#:(1,b7)","3"
"E:(1,b7)","4"
"Eb:(1,b7)","3"
"E#:(1,b7)","5"
"F:(1,b7)","5"
"Fb:(1,b7)","4"
"F#:(1,b7)","6"
"G:(1,b7)","7"
"Gb:(1,b7)","6"
"G#:(1,b7)","8"
"A:(1,b7)","9"
"Ab:(1,b7)","8"
"A#:(1,b7)","10"
"B:(1,b7)","11"
"Bb:(1,b7)","10"
"B#:(1,b7)","0"
"C:(1,b7)/1","0  0"
"Cb:(1,b7)/1","11  11"
"C#:(1,b7)/1","1  1"
"D:(1,b7)/1","2  2"
"Db:(1,b7)/1","1  1"
"D#:(1,b7)/1","3  3"
"E:(1,b7)/1","4  4"
"Eb:(1,b7)/1","3  3"
"E#:(1,b7)/1","5  5"
"F:(1,b7)/1","5  5"
"Fb:(1,b7)/1","4  4"
"F#:(1,b7)/1","6  6"
"G:(1,b7)/1","7  7"
"Gb:(1,b7)/1","6  6"
"G#:(1,b7)/1","8  8"
"A:(1,b7)/1","9  9"
"Ab:(1,b7)/1","8  8"
"A#:(1,b7)/1","10  10"
"B:(1,b7)/1","11  11"
"Bb:(1,b7)/1","10  10"
"B#:(1,b7)/1","0  0"
"C:(1,b7)/2","2  0"
"Cb:(1,b7)/2","1  11"
"C#:(1,b7)/2","3  1"
"D:(1,b7)/2","4  2"
"Db:(1,b7)/2","3  1"
"D#:(1,b7)/2","5  3"
"E:(1,b7)/2","6  4"
"Eb:(1,b7)/2","5  3"
"E#:(1,b7)/2","7  5"
"F:(1,b7)/2","7  5"
"Fb:(1,b7)/2","6  4"
"F#:(1,b7)/2","8  6"
"G:(1,b7)/2","9  7"
"Gb:(1,b7)/2","8  6"
"G#:(1,b7)/2","10   8"
"A:(1,b7)/2","11   9"
"Ab:(1,b7)/2","10   8"
"A#:(1,b7)/2","0  10"
"B:(1,b7)/2","1  11"
"Bb:(1,b7)/2","0  10"
"B#:(1,b7)/2","2  0"
"C:(1,b7)/3","4  0"
"Cb:(1,b7)/3","3  11"
"C#:(1,b7)/3","5  1"
"D:(1,b7)/3","6  2"
"Db:(1,b7)/3","5  1"
"D#:(1,b7)/3","7  3"
"E:(1,b7)/3","8  4"
"Eb:(1,b7)/3","7  3"
"E#:(1,b7)/3","9  5"
"F:(1,b7)/3","9  5"
"Fb:(1,b7)/3","8  4"
"F#:(1,b7)/3","10   6"
"G:(1,b7)/3","11   7"
"Gb:(1,b7)/3","10   6"
"G#:(1,b7)/3","0  8"
"A:(1,b7)/3","1  9"
"Ab:(1,b7)/3","0  8"
"A#:(1,b7)/3","2  10"
"B:(1,b7)/3","3  11"
"Bb:(1,b7)/3","2  10"
"B#:(1,b7)/3","4  0"
"C:(1,b7)/4","5  0"
"Cb:(1,b7)/4","4  11"
"C#:(1,b7)/4","6  1"
"D:(1,b7)/4","7  2"
"Db:(1,b7)/4","6  1"
"D#:(1,b7)/4","8  3"
"E:(1,b7)/4","9  4"
"Eb:(1,b7)/4","8  3"
"E#:(1,b7)/4","10   5"
"F:(1,b7)/4","10   5"
"Fb:(1,b7)/4","9  4"
"F#:(1,b7)/4","11   6"
"G:(1,b7)/4","0  7"
"Gb:(1,b7)/4","11   6"
"G#:(1,b7)/4","1  8"
"A:(1,b7)/4","2  9"
"Ab:(1,b7)/4","1  8"
"A#:(1,b7)/4","3  10"
"B:(1,b7)/4","4  11"
"Bb:(1,b7)/4","3  10"
"B#:(1,b7)/4","5  0"
"C:(1,b7)/5","7  0"
"Cb:(1,b7)/5","6  11"
"C#:(1,b7)/5","8  1"
"D:(1,b7)/5","9  2"
"Db:(1,b7)/5","8  1"
"D#:(1,b7)/5","10   3"
"E:(1,b7)/5","11   4"
"Eb:(1,b7)/5","10   3"
"E#:(1,b7)/5","0  5"
"F:(1,b7)/5","0  5"
"Fb:(1,b7)/5","11   4"
"F#:(1,b7)/5","1  6"
"G:(1,b7)/5","2  7"
"Gb:(1,b7)/5","1  6"
"G#:(1,b7)/5","3  8"
"A:(1,b7)/5","4  9"
"Ab:(1,b7)/5","3  8"
"A#:(1,b7)/5","5  10"
"B:(1,b7)/5","6  11"
"Bb:(1,b7)/5","5  10"
"B#:(1,b7)/5","7  0"
"C:(1,b7)/6","9  0"
"Cb:(1,b7)/6","8  11"
"C#:(1,b7)/6","10   1"
"D:(1,b7)/6","11   2"
"Db:(1,b7)/6","10   1"
"D#:(1,b7)/6","0  3"
"E:(1,b7)/6","1  4"
"Eb:(1,b7)/6","0  3"
"E#:(1,b7)/6","2  5"
"F:(1,b7)/6","2  5"
"Fb:(1,b7)/6","1  4"
"F#:(1,b7)/6","3  6"
"G:(1,b7)/6","4  7"
"Gb:(1,b7)/6","3  6"
"G#:(1,b7)/6","5  8"
"A:(1,b7)/6","6  9"
"Ab:(1,b7)/6","5  8"
"A#:(1,b7)/6","7  10"
"B:(1,b7)/6","8  11"
"Bb:(1,b7)/6","7  10"
"B#:(1,b7)/6","9  0"
"C:(1,b7)/7","11   0"
"Cb:(1,b7)/7","10  11"
"C#:(1,b7)/7","0  1"
"D:(1,b7)/7","1  2"
"Db:(1,b7)/7","0  1"
"D#:(1,b7)/7","2  3"
"E:(1,b7)/7","3  4"
"Eb:(1,b7)/7","2  3"
"E#:(1,b7)/7","4  5"
"F:(1,b7)/7","4  5"
"Fb:(1,b7)/7","3  4"
"F#:(1,b7)/7","5  6"
"G:(1,b7)/7","6  7"
"Gb:(1,b7)/7","5  6"
"G#:(1,b7)/7","7  8"
"A:(1,b7)/7","8  9"
"Ab:(1,b7)/7","7  8"
"A#:(1,b7)/7","9  10"
"B:(1,b7)/7","10  11"
"Bb:(1,b7)/7","9  10"
"B#:(1,b7)/7","11   0"
"C:(1,b7)/9","2  0"
"Cb:(1,b7)/9","1  11"
"C#:(1,b7)/9","3  1"
"D:(1,b7)/9","4  2"
"Db:(1,b7)/9","3  1"
"D#:(1,b7)/9","5  3"
"E:(1,b7)/9","6  4"
"Eb:(1,b7)/9","5  3"
"E#:(1,b7)/9","7  5"
"F:(1,b7)/9","7  5"
"Fb:(1,b7)/9","6  4"
"F#:(1,b7)/9","8  6"
"G:(1,b7)/9","9  7"
"Gb:(1,b7)/9","8  6"
"G#:(1,b7)/9","10   8"
"A:(1,b7)/9","11   9"
"Ab:(1,b7)/9","10   8"
"A#:(1,b7)/9","0  10"
"B:(1,b7)/9","1  11"
"Bb:(1,b7)/9","0  10"
"B#:(1,b7)/9","2  0"
"C:(1,b7)/b1","11   0"
"Cb:(1,b7)/b1","10  11"
"C#:(1,b7)/b1","0  1"
"D:(1,b7)/b1","1  2"
"Db:(1,b7)/b1","0  1"
"D#:(1,b7)/b1","2  3"
"E:(1,b7)/b1","3  4"
"Eb:(1,b7)/b1","2  3"
"E#:(1,b7)/b1","4  5"
"F:(1,b7)/b1","4  5"
"Fb:(1,b7)/b1","3  4"
"F#:(1,b7)/b1","5  6"
"G:(1,b7)/b1","6  7"
"Gb:(1,b7)/b1","5  6"
"G#:(1,b7)/b1","7  8"
"A:(1,b7)/b1","8  9"
"Ab:(1,b7)/b1","7  8"
"A#:(1,b7)/b1","9  10"
"B:(1,b7)/b1","10  11"
"Bb:(1,b7)/b1","9  10"
"B#:(1,b7)/b1","11   0"
"C:(1,b7)/b2","1  0"
"Cb:(1,b7)/b2","0  11"
"C#:(1,b7)/b2","2  1"
"D:(1,b7)/b2","3  2"
"Db:(1,b7)/b2","2  1"
"D#:(1,b7)/b2","4  3"
"E:(1,b7)/b2","5  4"
"Eb:(1,b7)/b2","4  3"
"E#:(1,b7)/b2","6  5"
"F:(1,b7)/b2","6  5"
"Fb:(1,b7)/b2","5  4"
"F#:(1,b7)/b2","7  6"
"G:(1,b7)/b2","8  7"
"Gb:(1,b7)/b2","7  6"
"G#:(1,b7)/b2","9  8"
"A:(1,b7)/b2","10   9"
"Ab:(1,b7)/b2","9  8"
"A#:(1,b7)/b2","11  10"
"B:(1,b7)/b2","0  11"
"Bb:(1,b7)/b2","11  10"
"B#:(1,b7)/b2","1  0"
"C:(1,b7)/b3","3  0"
"Cb:(1,b7)/b3","2  11"
"C#:(1,b7)/b3","4  1"
"D:(1,b7)/b3","5  2"
"Db:(1,b7)/b3","4  1"
"D#:(1,b7)/b3","6  3"
"E:(1,b7)/b3","7  4"
"Eb:(1,b7)/b3","6  3"
"E#:(1,b7)/b3","8  5"
"F:(1,b7)/b3","8  5"
"Fb:(1,b7)/b3","7  4"
"F#:(1,b7)/b3","9  6"
"G:(1,b7)/b3","10   7"
"Gb:(1,b7)/b3","9  6"
"G#:(1,b7)/b3","11   8"
"A:(1,b7)/b3","0  9"
"Ab:(1,b7)/b3","11   8"
"A#:(1,b7)/b3","1  10"
"B:(1,b7)/b3","2  11"
"Bb:(1,b7)/b3","1  10"
"B#:(1,b7)/b3","3  0"
"C:(1,b7)/b4","4  0"
"Cb:(1,b7)/b4","3  11"
"C#:(1,b7)/b4","5  1"
"D:(1,b7)/b4","6  2"
"Db:(1,b7)/b4","5  1"
"D#:(1,b7)/b4","7  3"
"E:(1,b7)/b4","8  4"
"Eb:(1,b7)/b4","7  3"
"E#:(1,b7)/b4","9  5"
"F:(1,b7)/b4","9  5"
"Fb:(1,b7)/b4","8  4"
"F#:(1,b7)/b4","10   6"
"G:(1,b7)/b4","11   7"
"Gb:(1,b7)/b4","10   6"
"G#:(1,b7)/b4","0  8"
"A:(1,b7)/b4","1  9"
"Ab:(1,b7)/b4","0  8"
"A#:(1,b7)/b4","2  10"
"B:(1,b7)/b4","3  11"
"Bb:(1,b7)/b4","2  10"
"B#:(1,b7)/b4","4  0"
"C:(1,b7)/b5","6  0"
"Cb:(1,b7)/b5","5  11"
"C#:(1,b7)/b5","7  1"
"D:(1,b7)/b5","8  2"
"Db:(1,b7)/b5","7  1"
"D#:(1,b7)/b5","9  3"
"E:(1,b7)/b5","10   4"
"Eb:(1,b7)/b5","9  3"
"E#:(1,b7)/b5","11   5"
"F:(1,b7)/b5","11   5"
"Fb:(1,b7)/b5","10   4"
"F#:(1,b7)/b5","0  6"
"G:(1,b7)/b5","1  7"
"Gb:(1,b7)/b5","0  6"
"G#:(1,b7)/b5","2  8"
"A:(1,b7)/b5","3  9"
"Ab:(1,b7)/b5","2  8"
"A#:(1,b7)/b5","4  10"
"B:(1,b7)/b5","5  11"
"Bb:(1,b7)/b5","4  10"
"B#:(1,b7)/b5","6  0"
"C:(1,b7)/b6","8  0"
"Cb:(1,b7)/b6","7  11"
"C#:(1,b7)/b6","9  1"
"D:(1,b7)/b6","10   2"
"Db:(1,b7)/b6","9  1"
"D#:(1,b7)/b6","11   3"
"E:(1,b7)/b6","0  4"
"Eb:(1,b7)/b6","11   3"
"E#:(1,b7)/b6","1  5"
"F:(1,b7)/b6","1  5"
"Fb:(1,b7)/b6","0  4"
"F#:(1,b7)/b6","2  6"
"G:(1,b7)/b6","3  7"
"Gb:(1,b7)/b6","2  6"
"G#:(1,b7)/b6","4  8"
"A:(1,b7)/b6","5  9"
"Ab:(1,b7)/b6","4  8"
"A#:(1,b7)/b6","6  10"
"B:(1,b7)/b6","7  11"
"Bb:(1,b7)/b6","6  10"
"B#:(1,b7)/b6","8  0"
"C:(1,b7)/b7","10   0"
"Cb:(1,b7)/b7","9  11"
"C#:(1,b7)/b7","11   1"
"D:(1,b7)/b7","0  2"
